112,	256,	-7,	1929,	-41,	-38,	-5
113,	265,	-7,	1926,	-40,	-46,	-4
114,	264,	-5,	1928,	-41,	-49,	-5
115,	261,	-9,	1924,	-41,	-27,	-5
116,	265,	-7,	1926,	-42,	-24,	-5
117,	265,	-1,	1928,	-41,	-42,	-4
118,	262,	-5,	1929,	-42,	-25,	-5
119,	263,	-9,	1930,	-41,	-23,	-5
120,	262,	-4,	1926,	-41,	-39,	-5
121,	267,	-6,	1925,	-40,	-23,	-4
122,	259,	-9,	1928,	-41,	-38,	-6
123,	263,	-7,	1922,	-41,	-39,	-4
124,	267,	-3,	1924,	-40,	-30,	-4
125,	263,	-7,	1926,	-41,	-18,	-6
126,	283,	-47,	1929,	-43,	-77,	-42
127,	279,	-7,	1925,	-43,	-74,	-15
128,	272,	6,	1929,	-42,	-30,	-2
129,	293,	-19,	1922,	-40,	-104,	11
130,	286,	-32,	1915,	-92,	-56,	-53
131,	297,	5,	1953,	-17,	-71,	-67
132,	297,	-3,	1965,	103,	1,	-49
133,	267,	19,	1948,	63,	16,	13
134,	240,	5,	1931,	-32,	111,	-6
135,	310,	7,	1949,	-11,	-5,	-152
136,	236,	42,	1990,	-43,	47,	-161
137,	193,	121,	1978,	79,	-17,	91
138,	309,	45,	1933,	51,	-106,	160
139,	282,	26,	1874,	-10,	-152,	-22
140,	343,	15,	1910,	-155,	-86,	-104
141,	247,	95,	1837,	-130,	-124,	-156
142,	321,	53,	1900,	-35,	-52,	-46
143,	340,	31,	1898,	7,	-29,	-50
144,	281,	102,	1894,	1,	47,	-44
145,	276,	55,	1890,	-128,	10,	31
146,	285,	43,	1943,	-149,	30,	22
147,	261,	32,	1926,	-198,	44,	45
148,	251,	-32,	1860,	-213,	-32,	47
149,	253,	-58,	1879,	-439,	119,	47
150,	272,	-146,	1936,	-443,	16,	37
151,	239,	-196,	1916,	-485,	-101,	42
152,	234,	-283,	1920,	-568,	-146,	67
153,	247,	-380,	1840,	-577,	-294,	68
154,	351,	-507,	1952,	-660,	-288,	60
155,	340,	-558,	1843,	-721,	-101,	82
156,	315,	-715,	1727,	-814,	25,	165
157,	343,	-885,	1723,	-840,	-117,	145
158,	348,	-912,	1765,	-833,	-18,	71
159,	316,	-1084,	1632,	-654,	-130,	27
160,	351,	-1168,	1542,	-443,	-87,	-36
161,	324,	-1193,	1519,	-419,	-145,	-4
162,	379,	-1235,	1551,	-284,	6,	40
163,	381,	-1307,	1466,	-200,	-78,	40
164,	344,	-1324,	1398,	-120,	-118,	-23
165,	371,	-1332,	1451,	-53,	-9,	-94
166,	373,	-1291,	1474,	-65,	-46,	-29
167,	376,	-1309,	1438,	-15,	-58,	-13
168,	377,	-1303,	1488,	-18,	-32,	10
169,	395,	-1304,	1448,	6,	-48,	20
170,	382,	-1286,	1453,	-39,	-49,	-5
171,	365,	-1287,	1478,	-52,	-32,	25
172,	378,	-1293,	1462,	-16,	-49,	22
173,	387,	-1315,	1458,	-4,	-43,	9
174,	382,	-1286,	1469,	-39,	-15,	-9
175,	380,	-1293,	1464,	-41,	-29,	-3
